Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1717779013.1029172,10.360000000000001,29.520000000000003,-51.81333333333334,1.0365853658536586,0.9756097560975611,1.0975609756097562,-0.00927734375,0.680419921875,-0.723876953125,0.3724340175953079,0.39589442815249265,0.4252199413489736,0.04398826979472141,0.05278592375366569,0.07038123167155426,42.3,-83.7,0.3,[-0.0255525  -0.39832411  0.91688875],[-0.48772529  0.17116646 -0.85605262],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.751909775123707,10.180101722293111,-156.342664684934,[ 0.96685535 -0.12633917  0.06362593 -0.21255797],[ 0.96997223 -0.11630081  0.08182504 -0.19731361]
1717779013.1307979,10.373333333333335,29.92,-51.6,-34.207317073170735,-1.707317073170732,-0.12195121951219513,-0.01708984375,0.760498046875,-0.709228515625,0.36950146627565983,0.39296187683284456,0.4222873900293255,0.04398826979472141,0.05278592375366569,0.07331378299120235,42.3,-83.7,0.3,[-0.02571174 -0.40080632  0.91580195],[-0.49419976  0.1713402  -0.85229638],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.926980931980385,10.123214115965345,-156.50420625022946,[ 0.96701409 -0.1276316   0.06299917 -0.21124638],[ 0.93591888 -0.2806602   0.08630777 -0.19451651]
1717779013.1570525,10.4,30.12,-51.52,2.1341463414634148,1.524390243902439,1.829268292682927,-0.007568359375,0.717041015625,-0.720947265625,0.36950146627565983,0.39296187683284456,0.4222873900293255,0.04398826979472141,0.05278592375366569,0.07331378299120235,42.3,-83.7,0.3,[-0.02571174 -0.40080632  0.91580195],[-0.49721084  0.1716797  -0.85047485],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.966318362206112,10.023476038833381,-156.6896925126749,[ 0.96740506 -0.12769594  0.06228824 -0.20962197],[ 0.97246086 -0.10425014  0.09223067 -0.18693661]
1717779013.1841698,10.360000000000001,30.240000000000002,-51.480000000000004,-4.634146341463415,-1.9512195121951221,-0.6097560975609757,-0.009765625,0.816650390625,-0.659423828125,0.36950146627565983,0.39296187683284456,0.4222873900293255,0.04398826979472141,0.05278592375366569,0.07331378299120235,42.3,-83.7,0.3,[-0.02571174 -0.40080632  0.91580195],[-0.49903588  0.170966   -0.84954918],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.973466031072503,9.992152352218708,-156.71498895624177,[ 0.96747276 -0.12769057  0.06203783 -0.20938695],[ 0.95609566 -0.20406047  0.04767899 -0.20485882]
1717779013.2117252,10.346666666666668,30.240000000000002,-51.52,1.2195121951219514,1.7682926829268295,1.3414634146341464,-0.01611328125,0.72705078125,-0.712646484375,0.36950146627565983,0.39296187683284456,0.4222873900293255,0.04398826979472141,0.05278592375366569,0.07331378299120235,42.3,-83.7,0.3,[-0.02571174 -0.40080632  0.91580195],[-0.49877489  0.17065666 -0.84976462],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.965063631401021,10.009592430515648,-156.6727034483355,[ 0.96738842 -0.12767151  0.06215392 -0.20975349],[ 0.970919   -0.10891735  0.09118018 -0.19271606]
1717779013.238016,10.333333333333334,30.200000000000003,-51.50666666666667,-2.3170731707317076,-1.2804878048780488,-0.1829268292682927,0.047607421875,0.7744140625,-0.651123046875,0.36950146627565983,0.39296187683284456,0.4222873900293255,0.04398826979472141,0.05278592375366569,0.07331378299120235,42.3,-83.7,0.3,[-0.02571174 -0.40080632  0.91580195],[-0.49839092  0.17053111 -0.85001507],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.958599954923214,10.02487364914604,-156.64143436547909,[ 0.96732398 -0.12765933  0.06226045 -0.21002629],[ 0.96265174 -0.17040708  0.05131296 -0.2040344 ]
1717779013.265361,10.333333333333334,30.240000000000002,-51.480000000000004,-6.52439024390244,0.426829268292683,-0.1829268292682927,-0.05615234375,0.720703125,-0.729736328125,0.36950146627565983,0.39296187683284456,0.41935483870967744,0.04398826979472141,0.05571847507331378,0.07331378299120235,42.3,-83.7,0.3,[-0.01299964 -0.3827725   0.92375117],[-0.49907339  0.17053875 -0.84961303],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],12.393509951482793,8.649951869621924,-157.56285986638662,[ 0.97080024 -0.1201651   0.05259944 -0.20084955],[ 0.9518165  -0.219105    0.07814164 -0.19983049]
1717779013.2921789,10.413333333333334,30.46666666666667,-51.400000000000006,-9.390243902439025,0.5487804878048781,0.3658536585365854,0.0009765625,0.84521484375,-0.6494140625,0.36656891495601174,0.39002932551319647,0.4222873900293255,0.04398826979472141,0.05278592375366569,0.07331378299120235,42.3,-83.7,0.3,[-0.03835934 -0.42078869  0.90634731],[-0.50232264  0.17169102 -0.84746337],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],13.660724697779159,11.331741511822985,-155.99428602178037,[ 0.96400851 -0.13614728  0.07127124 -0.21696064],[ 0.93910642 -0.25672555  0.10370587 -0.20350973]
1717779013.3190587,10.386666666666667,30.573333333333334,-51.42666666666667,-8.658536585365855,0.30487804878048785,1.1585365853658538,0.0126953125,0.666748046875,-0.727294921875,0.36656891495601174,0.39002932551319647,0.41935483870967744,0.04398826979472141,0.05571847507331378,0.07624633431085044,42.3,-83.7,0.3,[-0.02587277 -0.40331663  0.91469465],[-0.50348641  0.17104924 -0.84690235],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],13.126192336775059,9.99820107878346,-156.7621771562675,[ 0.9673822  -0.12896446  0.06186309 -0.20907606],[ 0.94562748 -0.24908976  0.09793287 -0.18480289]
1717779013.346675,10.453333333333333,30.78666666666667,-51.24,-12.500000000000002,-0.5487804878048781,-0.06097560975609757,0.001220703125,0.8525390625,-0.585205078125,0.36656891495601174,0.39002932551319647,0.41935483870967744,0.04398826979472141,0.05571847507331378,0.07624633431085044,42.3,-83.7,0.3,[-0.02587277 -0.40331663  0.91469465],[-0.50732201  0.17225659 -0.84436488],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],13.18919052391917,9.846892042513812,-157.06657104212368,[ 0.96800442 -0.12908486  0.06080861 -0.20641429],[ 0.94023037 -0.26850045  0.08345976 -0.19211667]
