Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q,"['Solar Panel One Flux (Raw V)', 'Solar Panel Two Flux (Raw V)', 'Solar Panel Three Flux (Raw V)', 'Solar Panel Four Flux (Raw V)']"
17:40:55.17,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.20,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.23,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.25,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.28,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.31,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.33,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.36,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.39,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
17:40:55.42,0,0,0,0,0,0,0,0,0,0,0,0,42.75,-84.99,0.3,[0 0 1],[0 0 1],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-6.421268564557994,-68.47479724422087,175.62752403483643,[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[ 8.26017140e-01  2.48387488e-02 -5.63097434e-01 -3.99003633e-13],[0. 0. 0. 0.]
