Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1717779001.833904,6.533333333333334,-22.173333333333336,-41.333333333333336,-4.207317073170732,0.6097560975609757,1.402439024390244,-0.021240234375,-0.181640625,-0.976318359375,0.4838709677419355,0.4604105571847507,0.4398826979472141,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.01146881  0.29796837  0.95450685],[ 0.46820614  0.13795611 -0.87278355],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.611939791955824,10.262551586253142,45.408331722375664,[0.38743474 0.06697289 0.07146197 0.91667995],[ 0.3701756   0.01945856 -0.00805717  0.92872303]
1717779001.8596303,6.5200000000000005,-22.240000000000002,-41.29333333333334,2.6219512195121952,0.24390243902439027,1.5853658536585367,-0.013671875,-0.40966796875,-0.940673828125,0.4838709677419355,0.4604105571847507,0.44281524926686217,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.02302046  0.2791082   0.95998368],[ 0.46966812  0.13769047 -0.87203967],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.385750054974134,9.058155312650157,44.929818604257825,[0.38343756 0.05834371 0.06540128 0.91939889],[0.35297825 0.0658614  0.0996352  0.92797708]
1717779001.8867097,6.5200000000000005,-22.14666666666667,-41.36,-7.01219512195122,-0.3658536585365854,-0.1829268292682927,0.0029296875,-0.25537109375,-0.96875,0.4838709677419355,0.4604105571847507,0.4398826979472141,0.02346041055718475,0.02346041055718475,0.026392961876832845,42.3,-83.7,0.3,[-0.01146881  0.29796837  0.95450685],[ 0.46755454  0.13764851 -0.87318133],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.605710259418758,10.275734132890927,45.434327219747324,[0.38763932 0.06708351 0.07147117 0.91658466],[ 0.39051453  0.03517763 -0.02208175  0.91965936]
1717779001.913797,6.533333333333334,-22.14666666666667,-41.440000000000005,-4.634146341463415,0.5487804878048781,0.7317073170731708,-0.02587890625,-0.3349609375,-0.970703125,0.4838709677419355,0.4604105571847507,0.4398826979472141,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.01146881  0.29796837  0.95450685],[ 0.46684782  0.13772151 -0.87354788],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.593602286768587,10.292993721270655,45.489537748998245,[0.38807413 0.06722852 0.0714641  0.91639057],[ 0.38167124  0.02455561 -0.00808675  0.92393652]
1717779001.9413207,6.533333333333334,-22.093333333333334,-41.57333333333334,-4.085365853658537,0.426829268292683,0.426829268292683,-0.00390625,-0.265625,-0.971923828125,0.4838709677419355,0.4604105571847507,0.4398826979472141,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.01146881  0.29796837  0.95450685],[ 0.46482502  0.1374558  -0.87466771],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.565055759943505,10.338942566934413,45.61648259485241,[0.38907303 0.06761463 0.07146372 0.91593852],[ 3.84508429e-01  2.86187399e-02 -8.83820061e-04  9.22677330e-01]
1717779001.9677904,6.5200000000000005,-22.026666666666667,-41.61333333333334,-6.707317073170732,-0.1829268292682927,0.426829268292683,-0.006591796875,-0.294189453125,-0.958740234375,0.4838709677419355,0.4604105571847507,0.44281524926686217,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.02302046  0.2791082   0.95998368],[ 0.46340065  0.13716884 -0.87546819],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.302407581173153,9.20287584170285,45.34726190320866,[0.38674679 0.05954862 0.06542717 0.91793255],[ 0.38415919  0.02019963 -0.0354854   0.92236353]
1717779001.9951537,6.533333333333334,-21.94666666666667,-41.66666666666667,-4.51219512195122,0.1829268292682927,0.0,-0.018310546875,-0.30908203125,-0.965576171875,0.4838709677419355,0.4604105571847507,0.44281524926686217,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.02302046  0.2791082   0.95998368],[ 0.46160547  0.13741597 -0.87637734],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.2733989762091715,9.247368660410269,45.49529684257638,[0.38791847 0.05991937 0.06542027 0.91741436],[ 0.39100255  0.02301581 -0.01626874  0.91995794]
1717779002.0399842,6.573333333333334,-21.813333333333336,-41.906666666666666,-21.097560975609756,-0.24390243902439027,0.0,-0.006103515625,-0.38427734375,-0.953857421875,0.4868035190615836,0.4633431085043988,0.44281524926686217,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.01140276  0.29625235  0.95504163],[ 0.45731174  0.13780849 -0.87856405],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.386141330794982,10.43509221545255,46.08635995345494,[0.39271964 0.06870379 0.07063687 0.91436399],[ 0.39717553  0.0084827  -0.0746638   0.91466112]
1717779002.0583324,6.640000000000001,-21.546666666666667,-42.24,3.658536585365854,-0.3658536585365854,0.12195121951219513,0.000732421875,-0.21826171875,-0.977294921875,0.4868035190615836,0.4633431085043988,0.44574780058651026,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.02288665  0.27748589  0.96045707],[ 0.45000689  0.13867787 -0.88219173],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.0327386844649125,9.453470926574193,46.34087801902727,[0.39455218 0.06191276 0.06463999 0.91450372],[0.38846753 0.08508577 0.10103783 0.91194558]
1717779002.0795517,6.640000000000001,-21.560000000000002,-42.17333333333334,-9.756097560975611,0.48780487804878053,0.12195121951219513,-0.043212890625,-0.364013671875,-0.96923828125,0.4868035190615836,0.4633431085043988,0.44574780058651026,0.02346041055718475,0.026392961876832845,0.026392961876832845,42.3,-83.7,0.3,[-0.02288665  0.27748589  0.96045707],[ 0.4507824   0.13883094 -0.88177163],[-0.57202423  0.17286703 -0.80181374],[-0.02994249 -0.13829843  0.98993787],4.042459478849361,9.43626294116496,46.29344996711068,[0.3941789  0.06176838 0.06463356 0.9146749 ],[ 0.39720513  0.01122427 -0.04007935  0.91678555]
