Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q
1718050225.1405516,5.586666666666667,-8.280000000000001,-36.25333333333334,-51.21951219512196,-0.853658536585366,-0.48780487804878053,-0.065673828125,-0.60693359375,-0.78662109375,1.8533724340175952,1.5073313782991202,1.653958944281525,0.05278592375366569,0.05571847507331378,0.07331378299120235,42.3,-83.7,0.3,[-0.46064618  0.32294438  0.82674786],[ 0.14856509 -0.22018836 -0.96407754],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-6.974144475861587,-20.142082963200828,-58.90135740450213,[ 0.47394029  0.18143494 -0.03367183 -0.86100416],[ 0.51246743  0.00215114  0.27462638 -0.81360486]
1718050225.1641934,5.933333333333334,-7.826666666666667,-37.013333333333335,-53.29268292682927,-2.9268292682926833,0.853658536585366,-0.039306640625,-0.626708984375,-0.80322265625,1.8709677419354838,1.5219941348973607,1.6744868035190617,0.05278592375366569,0.05865102639296188,0.07624633431085044,42.3,-83.7,0.3,[-0.46446503  0.31520445  0.82759797],[ 0.15494066 -0.2043824  -0.9665512 ],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-8.111964727276636,-19.51367238523372,-60.24993697555614,[ 0.48302188  0.18119615 -0.02454763 -0.85630323],[ 0.52163687 -0.01198822  0.27555916 -0.80735271]
1718050225.191233,6.253333333333334,-7.293333333333334,-37.88,-54.69512195121952,-2.804878048780488,1.707317073170732,-0.031005859375,-0.58837890625,-0.812744140625,1.8826979472140764,1.533724340175953,1.6950146627565983,0.05571847507331378,0.05865102639296188,0.07917888563049853,42.3,-83.7,0.3,[-0.47006327  0.2994661   0.83027741],[ 0.16001653 -0.18662909 -0.96931125],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-8.913948107172217,-18.772204202031496,-60.36706627890952,[ 0.48358501  0.17909645 -0.01547231 -0.85663913],[ 0.52479953 -0.02119656  0.28453457 -0.80198269]
1718050225.218261,6.573333333333334,-6.653333333333333,-38.760000000000005,-52.37804878048781,-3.2926829268292686,1.8902439024390245,-0.04248046875,-0.52587890625,-0.859375,1.8914956011730206,1.5425219941348973,1.7096774193548387,0.05571847507331378,0.06158357771260997,0.08211143695014662,42.3,-83.7,0.3,[-0.47350065  0.28890844  0.83206312],[ 0.16485898 -0.16686538 -0.97209951],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-10.049537328288316,-17.865123610746927,-61.709120909439676,[ 0.49301849  0.17715905 -0.00504824 -0.85177577],[ 0.53213564 -0.02433959  0.28663676 -0.79629053]
1718050225.2451646,6.773333333333333,-6.106666666666667,-39.480000000000004,-45.426829268292686,-2.439024390243903,1.2195121951219514,-0.033203125,-0.5380859375,-0.859619140625,1.900293255131965,1.5483870967741935,1.7272727272727273,0.05571847507331378,0.06451612903225806,0.08504398826979472,42.3,-83.7,0.3,[-0.48363906  0.27305833  0.83158428],[ 0.16716181 -0.15070887 -0.97434274],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-10.573567482184265,-17.265846358963287,-61.112952694344486,[ 0.48857937  0.17502106  0.00246011 -0.85478171],[ 0.52790816 -0.01441147  0.27441275 -0.80361865]
1718050225.2722526,7.066666666666667,-5.506666666666667,-40.25333333333334,-46.768292682926834,-0.7317073170731708,1.6463414634146343,-0.0693359375,-0.5009765625,-0.881103515625,1.906158357771261,1.5542521994134897,1.7390029325513197,0.05865102639296188,0.06451612903225806,0.08504398826979472,42.3,-83.7,0.3,[-0.48739885  0.26294741  0.832647  ],[ 0.17136201 -0.13353304 -0.97611679],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-11.473179874090292,-16.476651223926222,-62.017609393666106,[ 0.49502438  0.17316044  0.01133685 -0.85137407],[ 0.52892203 -0.00653619  0.28421853 -0.79963653]
1718050225.3028724,7.293333333333334,-4.96,-40.89333333333334,-45.426829268292686,-1.8902439024390245,0.426829268292683,-0.00439453125,-0.521728515625,-0.834228515625,1.9120234604105573,1.5571847507331378,1.7536656891495601,0.06158357771260997,0.06451612903225806,0.08797653958944282,42.3,-83.7,0.3,[-0.49765397  0.24758482  0.83128953],[ 0.17434107 -0.11856468 -0.97752115],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-11.990862218376341,-15.968958877326253,-61.35560286059114,[ 0.49002192  0.17158603  0.01847769 -0.85445616],[ 0.52450153 -0.00863712  0.28478147 -0.80232354]
1718050225.3261898,7.533333333333334,-4.32,-41.42666666666667,-42.804878048780495,-1.2804878048780488,1.402439024390244,-0.0556640625,-0.4296875,-0.890625,1.9178885630498534,1.563049853372434,1.7595307917888563,0.06158357771260997,0.06744868035190615,0.08797653958944282,42.3,-83.7,0.3,[-0.4964975   0.24700947  0.83215176],[ 0.17797902 -0.10206231 -0.97872711],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-13.074828646590948,-15.00790441032686,-63.765125764567266,[ 0.50762628  0.16979039  0.02731856 -0.84423959],[ 0.53621247 -0.00110306  0.28491728 -0.79454208]
1718050225.3534417,7.746666666666667,-3.8000000000000003,-41.88,-38.23170731707317,0.1829268292682927,-0.30487804878048785,-0.004150390625,-0.490478515625,-0.882080078125,1.9178885630498534,1.563049853372434,1.7712609970674487,0.06158357771260997,0.06744868035190615,0.09090909090909091,42.3,-83.7,0.3,[-0.5057982   0.22814275  0.83193694],[ 0.1811678  -0.08886889 -0.97942868],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-13.396006850926556,-14.627372936942844,-62.39832428400997,[ 0.49759261  0.16807459  0.0334616  -0.85031338],[ 0.52594386  0.01051945  0.27713693 -0.80403204]
1718050225.3802423,7.933333333333334,-3.2533333333333334,-42.413333333333334,-41.524390243902445,0.1829268292682927,-0.1829268292682927,-0.0517578125,-0.45751953125,-0.889892578125,1.9237536656891496,1.5689149560117301,1.7888563049853372,0.06451612903225806,0.07038123167155426,0.093841642228739,42.3,-83.7,0.3,[-0.51363936  0.20879528  0.8322134 ],[ 0.18333902 -0.0751844  -0.98017045],[ 0.19183003  0.19043592 -0.96277484],[0.4040646  0.2734554  0.87289973],-13.705285032770496,-14.201739283152634,-61.07046200694568,[ 0.48786562  0.16586822  0.03962391 -0.8560986 ],[ 0.51648577  0.00880112  0.28920308 -0.80593211]
